shapeid,y,x
32,-71.0785542,42.3720377
32,-71.0791835,42.3723572
32,-71.0793707,42.3724522
32,-71.0809527,42.373253
33,-71.1113164,42.3831992
33,-71.110479,42.382612
34,-71.1103388,42.3854853
34,-71.1100115,42.3853624
35,-71.102421,42.389845
35,-71.100864,42.389319
36,-71.1138132,42.3860922
36,-71.1135595,42.3864312
36,-71.1133049,42.3867965
36,-71.1132926,42.3868143
36,-71.1131792,42.3869769
36,-71.1128956,42.3873841
36,-71.1126128,42.3877899
36,-71.1122796,42.3882682
36,-71.112005,42.3886623
36,-71.1116822,42.3891296
36,-71.1113563,42.3895934
36,-71.1111464,42.3898947
36,-71.110997,42.390109
37,-71.096387,42.379635
37,-71.0963713,42.3795351
37,-71.096231,42.379108
37,-71.0961163,42.3787052
37,-71.096112,42.37869
37,-71.0961061,42.3786693
37,-71.096054,42.378486
37,-71.0958978,42.3779687
37,-71.0958888,42.3779391
37,-71.0958835,42.377919
38,-71.0968891,42.3824676
38,-71.0963028,42.3822244
38,-71.0962454,42.3822027
39,-71.1146338,42.3870439
39,-71.1139329,42.3880508
39,-71.1136808,42.3884153
39,-71.113528,42.3886313
39,-71.1134635,42.3887224
39,-71.1132098,42.389088
39,-71.112964,42.389424
39,-71.1126837,42.3898172
39,-71.1121751,42.3905601
40,-71.102282,42.3888438
40,-71.1021167,42.3890947
41,-71.0908259,42.3866387
41,-71.090001,42.388034
41,-71.0898513,42.3882571
41,-71.0896303,42.3885865
42,-71.092572,42.37679
42,-71.0925882,42.3784505
42,-71.092589,42.378536
43,-71.0892782,42.3775169
43,-71.089268,42.3774744
43,-71.0892156,42.377256
44,-71.0941056,42.3790987
44,-71.0940479,42.379191
44,-71.0938516,42.3794665
45,-71.104625,42.385303
45,-71.104319,42.3857576
46,-71.0920505,42.3794766
46,-71.0920266,42.3793765
46,-71.092001,42.379252
46,-71.091969,42.378961
46,-71.0919048,42.3784242
46,-71.0918574,42.3782927
47,-71.1087008,42.380187
47,-71.108757,42.3802311
47,-71.109095,42.380496
47,-71.109572,42.380889
47,-71.110844,42.381911
47,-71.110932,42.38197
48,-71.0957904,42.3797217
48,-71.0958973,42.3797599
48,-71.0960201,42.3797696
48,-71.0962043,42.3798411
48,-71.0963338,42.3799097
49,-71.1051776,42.3773149
49,-71.1052543,42.3772618
49,-71.1057213,42.3769432
49,-71.1058994,42.3768215
50,-71.0926604,42.386229
50,-71.0924558,42.3865834
50,-71.0924134,42.3866598
50,-71.0921853,42.3870595
51,-71.0937988,42.379519
51,-71.0937138,42.3795426
51,-71.0930609,42.3794973
51,-71.0924709,42.3794618
51,-71.0922994,42.3794642
51,-71.0922227,42.3794653
51,-71.0921827,42.3794659
51,-71.0920505,42.3794766
51,-71.0917024,42.3795336
51,-71.0914133,42.3796298
51,-71.0908054,42.3798313
51,-71.090653,42.379881
52,-71.1034361,42.3506128
52,-71.1033572,42.3509849
53,-71.106054,42.388634
53,-71.105592,42.388471
54,-71.0887767,42.3883015
54,-71.0878051,42.3894405
55,-71.0886,42.380671
55,-71.088501,42.380706
55,-71.0883258,42.380758
56,-71.1096462,42.3516085
56,-71.1095775,42.351565
56,-71.1095376,42.3515296
56,-71.1095055,42.3514869
56,-71.1094759,42.3514153
57,-71.1156992,42.3866507
57,-71.115188,42.386875
58,-71.084642,42.385606
58,-71.084289,42.386092
58,-71.0842001,42.3862165
58,-71.0841145,42.3863365
58,-71.083985,42.386518
58,-71.0838472,42.3867059
58,-71.0836982,42.3869116
58,-71.0832797,42.3875024
58,-71.0832034,42.3876075
59,-71.099342,42.3832651
59,-71.099729,42.382696
59,-71.100178,42.382043
59,-71.1004424,42.381612
59,-71.1005265,42.3815145
60,-71.1094759,42.3514153
60,-71.1093246,42.3515025
61,-71.095974,42.3879592
61,-71.096242,42.388265
61,-71.0962857,42.3883104
61,-71.096658,42.388662
61,-71.097161,42.3891393
62,-71.1071915,42.3789507
62,-71.1063899,42.3791321
62,-71.1055049,42.3793266
63,-71.107287,42.385833
63,-71.106413,42.385544
64,-71.1102964,42.351563
64,-71.1096469,42.3514829
64,-71.109584,42.3514703
64,-71.1095272,42.3514511
64,-71.1094759,42.3514153
65,-71.10424,42.3810181
65,-71.1041849,42.3811078
65,-71.1040187,42.381407
65,-71.1039952,42.381442
65,-71.103943,42.3815556
65,-71.103721,42.38193
65,-71.103441,42.3823701
65,-71.103399,42.382436
66,-71.0865271,42.3822401
66,-71.0864531,42.382218
66,-71.0859691,42.3820738
66,-71.0858999,42.3820532
67,-71.1040534,42.3788395
67,-71.1040668,42.3789228
67,-71.104408,42.3798716
67,-71.1044896,42.3800943
67,-71.1045977,42.3804136
67,-71.1045452,42.3805217
67,-71.104343,42.3808503
68,-71.1066534,42.351615
68,-71.1065593,42.3516051
69,-71.085282,42.3755668
69,-71.0853932,42.3756585
69,-71.085454,42.3757316
69,-71.0854704,42.375771
69,-71.0854985,42.3758034
69,-71.085879,42.376204
69,-71.086463,42.376808
69,-71.0870848,42.3774817
69,-71.087579,42.378017
69,-71.0881268,42.3786313
69,-71.088646,42.379142
69,-71.088971,42.379459
69,-71.0893131,42.3795038
70,-71.106737,42.3515963
70,-71.1066534,42.351615
70,-71.1066082,42.3516234
70,-71.1065737,42.3516255
70,-71.1065371,42.3516236
70,-71.1064353,42.3516136
70,-71.1063846,42.3516046
70,-71.1063407,42.3515877
70,-71.1062922,42.351565
71,-71.0866143,42.3812232
71,-71.0862143,42.3813165
71,-71.0860637,42.3813443
71,-71.085675,42.381416
71,-71.0849675,42.3815195
71,-71.0845536,42.3815813
71,-71.0838914,42.381656
71,-71.083072,42.381777
71,-71.0823551,42.3819025
71,-71.0819487,42.3819704
71,-71.0815273,42.3820397
72,-71.1111464,42.3898947
72,-71.1103534,42.389451
72,-71.110213,42.3893655
72,-71.1097613,42.3890902
72,-71.109715,42.389062
72,-71.109046,42.388662
73,-71.0988672,42.3793891
73,-71.0986389,42.3794121
74,-71.0943577,42.351035
74,-71.0943204,42.3510475
74,-71.0942796,42.3510637
74,-71.0940293,42.3511778
74,-71.0939977,42.3511859
74,-71.0939595,42.3511896
74,-71.0939242,42.3511887
75,-71.1072517,42.3780823
75,-71.1070016,42.3781367
75,-71.1068378,42.3781737
75,-71.1064878,42.3782627
75,-71.1063731,42.3782853
76,-71.1013,42.381756
76,-71.100969,42.38223
76,-71.100627,42.382718
76,-71.100307,42.383182
76,-71.0998605,42.3838028
77,-71.097416,42.374429
77,-71.097196,42.374703
77,-71.096888,42.375143
77,-71.09654,42.375644
77,-71.09623,42.37606
77,-71.0959484,42.3764555
77,-71.095726,42.3767606
77,-71.0955886,42.3769467
78,-71.0939242,42.3511887
78,-71.0938332,42.3511785
78,-71.0937908,42.3511805
78,-71.0937461,42.3511877
78,-71.0937026,42.3512009
78,-71.0936341,42.3512298
78,-71.0935613,42.3512677
78,-71.0934931,42.3513122
78,-71.0933572,42.3513943
78,-71.0932644,42.3514378
78,-71.093169,42.3514745
78,-71.0930619,42.3515096
78,-71.092437,42.3517046
78,-71.0923428,42.3517311
78,-71.0922483,42.3517566
78,-71.0921632,42.3517776
78,-71.0920869,42.3517942
78,-71.0919956,42.3518137
78,-71.0919095,42.351831
78,-71.0918187,42.3518484
78,-71.0917251,42.3518635
78,-71.091635,42.3518746
78,-71.0915432,42.3518846
78,-71.0914489,42.3518936
78,-71.0913535,42.3519045
78,-71.0912519,42.3519171
78,-71.0905222,42.3520005
78,-71.0903989,42.3520163
78,-71.0902695,42.3520367
78,-71.0901914,42.3520498
78,-71.0901169,42.3520665
78,-71.0899729,42.3521007
78,-71.0899284,42.3521081
78,-71.0898906,42.3521128
78,-71.08983,42.3521143
78,-71.0897839,42.352117
78,-71.0896959,42.3521256
78,-71.0896267,42.3521326
78,-71.0895564,42.3521385
78,-71.0894772,42.3521438
78,-71.0893542,42.3521507
78,-71.0892398,42.3521597
78,-71.0891292,42.3521713
78,-71.0889529,42.3521913
78,-71.0887607,42.3522159
78,-71.0883747,42.3522506
78,-71.0877325,42.3523496
78,-71.0874446,42.3523794
78,-71.0871422,42.3524145
78,-71.0870111,42.3524368
78,-71.0865187,42.3525624
78,-71.0864409,42.3525986
78,-71.0863812,42.3526458
78,-71.0863243,42.3526688
78,-71.0859471,42.3527678
78,-71.0854568,42.3529007
78,-71.0854257,42.3529117
78,-71.0853953,42.3529277
78,-71.0853705,42.3529448
78,-71.0853493,42.3529652
78,-71.0852669,42.3530564
78,-71.0852427,42.3530802
78,-71.0852112,42.353103
78,-71.0851784,42.3531228
78,-71.0851422,42.3531406
78,-71.085106,42.3531497
78,-71.0850646,42.353154
78,-71.0850309,42.3531535
78,-71.0848733,42.3531531
78,-71.0847997,42.3531556
78,-71.0846013,42.3531622
78,-71.0844524,42.3531652
78,-71.0843783,42.3531686
78,-71.084321,42.3531713
78,-71.0842694,42.3531783
78,-71.0842066,42.3531901
78,-71.0834243,42.3533903
78,-71.0823833,42.3536669
78,-71.0815654,42.3538925
78,-71.0813033,42.3539659
78,-71.0812371,42.3539915
78,-71.081191,42.3540234
78,-71.0810816,42.3541128
78,-71.0810402,42.3541349
78,-71.0809175,42.3541926
78,-71.0802493,42.3545086
78,-71.0801586,42.3545416
78,-71.0800852,42.3545672
78,-71.0799945,42.3545959
78,-71.0795762,42.3546972
78,-71.0790657,42.3548395
78,-71.0781845,42.35508
78,-71.0776157,42.3552322
78,-71.0774556,42.355276
78,-71.0773119,42.3553067
78,-71.0770196,42.3553897
78,-71.0760131,42.3556695
78,-71.075764,42.3557493
78,-71.0756143,42.3558078
78,-71.0754069,42.3559057
78,-71.0751607,42.3560526
78,-71.075112,42.3560843
78,-71.0750037,42.3561547
78,-71.0749108,42.3562189
78,-71.0748169,42.3563095
78,-71.074678,42.3564655
78,-71.0745717,42.3565939
78,-71.0744316,42.3567965
78,-71.0742305,42.3570933
78,-71.0741692,42.3571899
78,-71.0741435,42.3572374
78,-71.0740924,42.3573476
78,-71.0740539,42.3574307
78,-71.0740253,42.357472
78,-71.0739908,42.3575112
78,-71.0739611,42.3575365
78,-71.0739256,42.3575571
78,-71.0738819,42.3575738
78,-71.0738364,42.357585
78,-71.0737802,42.3575969
78,-71.073722,42.357606
78,-71.0736533,42.3576081
78,-71.0735708,42.3575945
78,-71.0735554,42.3576229
78,-71.073541,42.3576564
78,-71.0734236,42.3579227
78,-71.0733524,42.3580966
78,-71.0731023,42.3587185
78,-71.0730567,42.3588454
78,-71.0729905,42.3590296
78,-71.0728978,42.3592877
78,-71.0728376,42.3594366
78,-71.0727784,42.359583
78,-71.0726977,42.3597825
78,-71.0726812,42.3598659
78,-71.0726753,42.3599029
78,-71.0726495,42.3600255
78,-71.0726164,42.360299
78,-71.0726078,42.3603873
78,-71.0726062,42.3604449
78,-71.0727398,42.3606526
78,-71.0728368,42.3608039
78,-71.0728785,42.3608904
78,-71.0728968,42.36094
78,-71.0729029,42.3609927
78,-71.0729009,42.3610672
78,-71.0728964,42.3611459
78,-71.0728245,42.3615539
78,-71.0728372,42.3615959
78,-71.0728708,42.3616636
78,-71.0729003,42.3617411
78,-71.0729187,42.3618163
78,-71.0729797,42.3621353
78,-71.072992,42.3622512
78,-71.072994,42.362337
78,-71.072992,42.3624099
78,-71.0729891,42.3624409
78,-71.0729879,42.3624536
